corridorName,direction,tapInStopsName,tapOutStopsName,payCardBank,payCardSex
Kebayoran Lama - Tanah Abang,1.0,Ruko Permata Senayan 1,Ps. Kebayoran Lama 1,dki,M
Cempaka Putih - Pulo Gadung via Kelapa Gading,1.0,Sbr. Sekolah Saint Caroline,Ruko Mega Grosir Cempaka Mas,bni,F
Kebayoran Lama - Jelambar,1.0,Balai Pertamina,Pasar Kebayoran Lama,dki,M
Cilincing - Rorotan,0.0,Sbr. Jln. Malaka HB,Midi Utama Rorotan,bni,M
Terminal Tanah Merah - Pulo Gadung,1.0,Bermis 1,Jln. Dewi Sinta,dki,F
Kelapa Gading - Rusun Kemayoran,0.0,Sbr. Apartemen Gading Nias,Sbr. Jln. H. Mawar Sunter,bni,F
PGC 2 - Tanjung Priok,0.0,Cawang UKI,Cipinang Kebon Nanas,dki,M
Rawamangun - Duren Sawit,0.0,GOR Pondok Bambu,Sbr. Gg. Padi Pelita Cipinang,bni,M
Pulo Gadung - Monas,0.0,Cempaka Timur,Monas,dki,M
Terminal Kampung Melayu - Kapin Raya,0.0,Jln. Kesadaran Kali Malang,Jln. Cipinang Bali III,dki,F
Cilincing - Rorotan,0.0,Jln. Pratama I Rorotan,Jln. Rorotan XI,dki,F
Kalibata - Kuningan,1.0,Pengadegan Selatan III,St. Duren Kalibata,flazz,F
Semper - Rorotan,1.0,Pusdiklatnas 1,Jln. Kaliabang Rorotan,dki,M
Batusari - Grogol,1.0,Mediterania Garden Residences,Ps. Kopro,dki,F
Universitas Indonesia - Lebak Bulus,1.0,RA Kartini,SMAN 38,flazz,M
Lebak Bulus - Andara,1.0,Jln. Baros,Lebak Bulus Jak Lingko,dki,M
Sarana Jaya - Tebet Eco Park (TEP) - Stasiun Cawang,0.0,Tebet Eco Park Selatan 4,Jln. Tebet Timur Dalam VIII J,dki,M
Monas - Pantai Indah Kapuk,1.0,Monas 1,Monas 3,dki,F
Harapan Indah - ASMI,0.0,SMKN 33,Pulo Mas,emoney,F
Blok M - Kota,0.0,Blok M,Kali Besar Barat,dki,M
Rusun Pesakih - Kalideres,1.0,Kalideres 1,Pertamina Kalideres Daan Mogot,dki,F
Pinang Ranti - Pluit,1.0,BNN LRT,Cawang UKI,dki,M
Pulo Gadung - Monas,1.0,Gambir 2,Pulo Mas,brizzi,M
Ciputat - Kampung Rambutan,0.0,SMK Darussalam,RA Kartini,flazz,M
Bintara - Cipinang Indah,1.0,Sbr. PAUD Bintang Pondok Bambu,Institut Teknologi Budi Utomo 1,emoney,F
Rusun Rawa Bebek - Penggilingan,0.0,Walikota Jakarta Timur 2,Penggilingan 1,flazz,M
Pesanggrahan - Blok M,0.0,Bintaro Park VIew,Sbr. SMPN 235,emoney,F
Rusun Rawa Bebek - Kodamar,0.0,Taman Elok 1,Kampung Padaengan 1,emoney,F
Taman Kota - Budi Luhur,1.0,Gg. H Satiri Manshur,Masjid Nurul Iman Kubur Batu,dki,F
Joglo - Blok M,1.0,Gg. Sawo Joglo,Simpang Kramat II,emoney,F
BSD Serpong - Fatmawati,1.0,St. MRT Fatmawati,RS Siloam,dki,F
Rawamangun - Duren Sawit,1.0,Arion Mall,Duren Sawit,dki,M
Kampung Melayu - Pondok Kelapa,0.0,Sbr. Perum Taman Malaka,Pospol Pondok Kelapa,bni,M
Kampung Rambutan - Pondok Gede,1.0,Gg. Waru,Gg. Rukun Lubang Buaya,dki,F
Stasiun Palmerah - Bundaran Senayan,1.0,Bundaran Senayan,St. Palmerah,dki,F
Pulo Gadung - Rawa Buaya via Balai Kota,1.0,RS Islam,Cempaka Timur,dki,F
Kalideres - Bundaran HI via Veteran,0.0,Grogol 1,Sumur Bor,flazz,M
Terminal Kampung Melayu - Terminal Klender,0.0,Jln. Buaran III,Jln. Duren Sawit Dermaga,flazz,M
Sarana Jaya - Tebet Eco Park (TEP) - Stasiun Cawang,1.0,Jln. Tebet Barat Raya,Jln.Tebet Barat V,dki,M
Tongtek - Tebet Eco Park (TEP) - Cililitan,1.0,Gebu Minang,Klinik Firdausy,dki,F
Kampung Melayu - Pulo Gebang via BKT,1.0,Buaran Plaza,Perumnas Klender,dki,M
Stasiun Manggarai - UI,1.0,Komplek Keuangan,Sbr. Transvision Tebet,brizzi,F
Kampung Rambutan - Juanda via Pasar Baru,1.0,Tanah Merdeka Arah Timur,Kampung Rambutan,dki,F
Pinang Ranti - Pramuka,1.0,Garuda Taman Mini,Pinang Ranti,dki,M
Tanjung Priok - Blok M,1.0,Pasar Baru,Jembatan Merah,dki,F
Rusun Rawa Bebek - Kodamar,1.0,Al Wathoniyah 2,Raya Pulo Gebang Akses St. Cakung,dki,F
Kebayoran Lama - Tanah Abang,1.0,Jak Lingko Tanah Abang,St. Tanah Abang 3,flazz,F
Cinere - Bundaran Senayan,1.0,Bundaran Senayan 1,Gerbang Tol Brigif,emoney,M
Kelapa Gading - Rusun Kemayoran,0.0,Sbr. Apartemen Gading Nias,Jln. Gading Batavia,flazz,M
Summarecon Bekasi - BNN,1.0,Bandar Djakarta Bekasi,Summarecon Bekasi,flazz,F
Lebak Bulus - Cipulir,1.0,RSUD Pesanggrahan,Masjid Al Jihad Ulujami,emoney,M
Sarana Jaya - Tebet Eco Park (TEP) - Stasiun Cawang,0.0,Tebet Eco Park Selatan 5,Jln. Tebet Timur Dalam VIII J,flazz,F
Blok M - Kota,0.0,Bendungan Hilir,Bank Indonesia Arah Utara,dki,M
Pangkalan Jati - Rawamangun,1.0,Tip Top Rawamangun,Pos Rw 06 Pondok Bambu,dki,M
Terminal Kampung Melayu - Terminal Klender,0.0,SKKT Pondok Bambu,Jln. Bekasi Timur VI,emoney,M
Ragunan - Dukuh Atas 2,1.0,Pejaten,Departemen Pertanian,brizzi,M
Kp. Rambutan - Taman Wiladatika,1.0,Kel. Cibubur,Mall Cijantung,brizzi,M
Kelapa Gading - Rusun Kemayoran,1.0,Jln. H. Mawar Sunter,Mitra Gading Villa,bni,F
Ragunan - Dukuh Atas 2,1.0,Setiabudi Utara,Karet Kuningan,online,M
Ragunan - Blok M via Kemang,0.0,Kemang Raya 40,Puskesmas Kebayoran Baru,brizzi,M
Rusun Cipinang Besar Selatan - Penas Kalimalang,1.0,Cipinang Kb. Nanas 1,Cipinang Kb. Nanas 2,bni,F
Tanjung Priok - Sukapura,0.0,Jln. Lorong 22,Term. Tj. Priok 1,dki,F
Rempoa - Blok M,1.0,Masjid Pondok Indah 1,Kel. Bintaro,dki,F
Cilangkap - Cililitan,0.0,Simpang Raya Bogor Cililitan,Ps. Kramat Jati 1,dki,F
Harapan Indah - ASMI,0.0,Raya Penggilingan,RS Mediros,bni,M
Cibubur - Balai Kota,0.0,St. Sudirman 2,Tosari 2,dki,M
Cilincing - Rorotan,0.0,Gg. H. Abdullah Marunda,Gg. Damai I Rorotan,dki,M
Rusun Rawa Bebek - Kodamar,0.0,IGI,Pulo Mas 2,online,M
Bulak Turi - Tanjung Priok,0.0,Jln. Belimbing Terusan,Jln. Elpa Putih II,dki,M
Tanah Abang - Stasiun Gondangdia,1.0,SMKN 38,DPRD DKI Jakarta,dki,F
Matraman Baru - Ancol,0.0,Pademangan,Ancol,dki,M
Poris Plawad - Bundaran Senayan,1.0,SDN Sukasari Enam 2,Mall Bale Kota,online,F
Puri Beta 2 - Tendean,0.0,Cipulir,Tendean,flazz,F
Joglo - Blok M,0.0,Permata Hijau RS Medika 1,Jln. Sukabumi Selatan,dki,F
Roxy - Benhil,1.0,Pam Jaya DKI,Gedung Pompa Cideng Siantar,dki,M
Puri Beta - Pancoran Barat,1.0,Tendean,Adam Malik,dki,M
Rawamangun - Klender,1.0,STAI Az Ziyadah 2,Yayasan Asih Budi,dki,M
Tanjung Priok - Plumpang,1.0,Jln. Warakas II,Term. Tj. Priok 2,emoney,F
Kalideres - Bundaran HI via Veteran,1.0,Dispenda Samsat Barat,Pesakih,dki,F
TU Gas - Bundaran Senayan,0.0,Pasar Genjing,Matraman 2,bni,M
Term. Rawamangun - Term. Manggarai,0.0,Jln. Cipinang Timur Persahabatan,Flyover Jatinegara Atas,brizzi,F
Pulo Gadung 2 - Kuningan,0.0,Departemen Kesehatan,Patra Kuningan,dki,M
Tanah Abang - Meruya,0.0,Jak Lingko Tanah Abang 2,Sbr. SDN Palmerah 07,bni,M
Rusun Marunda - Tanjung Priok,0.0,Simpang Pitungan,Enggano,emoney,F
Rusun Pondok Bambu - Walikota Jakarta Timur,1.0,Taman Ut Aheme,Sbr. Swadaya Raya,dki,F
Kampung Melayu - Pulo Gebang via BKT,0.0,SMKN 48,Masjid Jami Al Barkah 2,emoney,M
Andara - Stasiun Universitas Pancasila,1.0,Jln. Pepaya V Jagakarsa,Pemadam Jagakarsa,dki,M
Terminal Rawamangun - Cipinang Muara,0.0,Persahabatan,Rukan Balai Pustaka,dki,M
Harapan Baru - Pulo Gebang via Rawa Kuning,0.0,Kota Harapan Indah 2,Simpang Tiga Pulo Gebang Raya,dki,M
Kampung Rambutan - Lebak Bulus,0.0,Plaza Oleos,JGC Indonesia,bni,M
Kampung Melayu - Pulo Gadung,0.0,St. LRT Velodrome 3,Pulo Gadung 4,dki,F
Matraman Baru - Ancol,0.0,Pademangan,Ancol,dki,F
Rusun Pondok Bambu - Walikota Jakarta Timur,1.0,Sbr. SMPN 195,Gereja Santa Anna 2,emoney,F
Cilincing - Rorotan,1.0,Mushola Almujtahida Rorotan,Ponpes Alhikmah Rorotan,flazz,F
Cililitan - Condet,1.0,Ps. Kramat Jati 2,PGC Dalam,flazz,F
Rusun Kapuk Muara - Penjaringan,0.0,Rusun Kapuk Muara,Penjaringan,emoney,F
Kelapa Gading - Rusun Kemayoran,0.0,Erha Clinic,Midi Utama Danau Indah,dki,F
Ragunan - MH Thamrin via Kuningan,0.0,Karet Kuningan,MH Thamrin,dki,M
Ciputat - CSW,1.0,Lebak Bulus,Situ Gintung 2,emoney,F
Cinere - Bundaran Senayan,1.0,SPBU Limo Cinere 1,South City Cinere,online,M
Tanjung Priok - Senen via Taman BMW,1.0,Ancol Pintu 2,Jln. Industri Tj. Priok,brizzi,M
Pinang Ranti - Bundaran Senayan,0.0,Garuda Taman Mini,Tegal Parang Arah Barat,emoney,M
Monas - Pantai Indah Kapuk,0.0,Gold Coast,Pantai Maju,dki,F
Ragunan - Blok M via Kemang,0.0,Simpang Dharmawangsa VIII,Blok M Jalur 2,bni,F
Puri Beta - Kuningan (Express),0.0,Setiabudi Utara,Latuharhary,brizzi,M
Pulo Gadung - Monas,1.0,Bermis,Pulo Gadung 1,dki,F
Ragunan - Gelora Bung Karno,0.0,SMK 57,Jati Padang,dki,M
Universitas Indonesia - Lebak Bulus,1.0,SPBU Jln. Guru,Syibi,online,F
Ciputat - Kampung Rambutan,1.0,Jln. Asmin 2,Cirendeu Permai,dki,M
Term. Rawamangun - Term. Manggarai,1.0,Sbr. St. Manggarai,Simpang Manggarai Utara,dki,M
Rusun Marunda - Tanjung Priok,0.0,Simpang Pitungan,Enggano,dki,M
Gondangdia - Senen,1.0,Sbr. KPAI,Taman Menteng 1,dki,F
Bekasi Barat - Blok M,0.0,RS Mitra Keluarga 1,Komdak 1,brizzi,M
Gondangdia - Senen,1.0,Atrium 1,Theresia,dki,F
Bekasi Barat - Kuningan,0.0,Kemenkes 1,Setiabudi Utara 2,brizzi,M
Rusun Waduk Pluit - Penjaringan,0.0,Simpang Pluit Raya,Kel. Penjaringan,online,F
Puri Beta - Ragunan,0.0,Buncit Indah,Jati Padang,dki,M
Cililitan - Condet via Kayu Manis,0.0,Simpang Waru Gedong,SMKN 22,dki,F
Kampung Rambutan - Pasar Rebo via Poncol,0.0,Kel. Susukan,Simpang Raya Bogor Suci,dki,M
Kalideres - Gelora Bung Karno,1.0,Senayan JCC Arah Timur,Gelora Bung Karno,dki,M
Cawang UKI - Lubang Buaya,0.0,Transjakarta Pintu 1,Kel. Halim Perdana Kusuma,flazz,F
Depok - BKN,0.0,D Mall,Komplek Pelni,dki,M
Gondangdia - Senen,0.0,Masjid Cut Meutia 1,RSPAD 3,bni,M
Puri Beta 2 - Tendean,1.0,Mayestik,Swadarma,emoney,F
Kampung Melayu - Duren Sawit,0.0,SDN Cipinang Besar Selatan,Sekolah Tunas Cemerlang,dki,M
Puri Beta - Pancoran Barat,0.0,Puri Beta 2,Cipulir,dki,F
Taman Kota - Budi Luhur,0.0,Jln. Al Hidayah Basmol,Jembatan Taman Kota,flazz,F
Stasiun Tebet - Karet via Underpass,1.0,Pos Polisi Satrio,Lotte Mall Kuningan 1,dki,M
Kampung Rambutan - Pondok Gede,1.0,Sbr. Gg. Swadaya Pagelarang,Gg. Rukun Lubang Buaya,dki,F
Tanjung Priok - Pluit,0.0,Kali Besar Barat,Pluit,emoney,M
Ciledug - Tendean,1.0,Cipulir,JORR,emoney,M
Poris Plawad - Bundaran Senayan,1.0,Rukan Teuku Umar,Term. Poris Plawad,dki,F
Puri Beta - Pancoran Barat,0.0,Rawa Barat,Pancoran Barat Arah Timur,emoney,F
Terminal Rawamangun - Cipinang Muara,0.0,Sbr. Jln. H. Hanafi Cipinang,Sudin Pencatatan Sipil 1,dki,F
Sarana Jaya - Tebet Eco Park (TEP) - Stasiun Cawang,1.0,Jln. Tebet Barat Raya,Jln.Tebet Barat V,dki,M
Stasiun Tebet - Karet via Patra Kuningan,0.0,UPT. LLHD 1,Karet Pedurenan 1,dki,F
PGC - Juanda,0.0,Cawang Otista,Tegalan,emoney,F
Pinang Ranti - Pulo Gadung,0.0,UNKRIS,Pospol Makasar,dki,F
Cililitan - Kp. Pulo,0.0,Kel. Halim Perdana Kusuma,RPTRA Kampung Pulo Asri,dki,F
Grogol - Meruya via Roxy,1.0,Kel. Duri Kepa,Term. Grogol,emoney,F
Grogol - Srengseng,0.0,Gg. CC Palmerah,Simpang Rawa Belong Sulaiman,emoney,F
Pinang Ranti - Pluit,0.0,Cawang Ciliwung Arah Barat,Jembatan Besi,dki,F
Tanah Abang - Grogol via Tawakal,1.0,Simpang Mandala Selatan Timur,Jak Lingko Tanah Abang,dki,F
Kalimalang - Duren Sawit,1.0,Gereja HKBP Duren Sawit,Masjid Baiturrahman Duren Sawit,emoney,F
Puri Beta - Kuningan (Express),0.0,Setiabudi Utara,Latuharhary,bni,F
Kp. Rambutan - Kalisari,0.0,Jln. Batas II Baru,Pesona Kalisari,online,M
Cibubur - Balai Kota,0.0,Bank Indonesia 2,IRTI,dki,F
Bekasi Timur - Cawang,1.0,BTC 2,Terminal Bekasi,emoney,M
Gondangdia - Senen,1.0,Graha Jasindo,Theresia,bni,F
Kampung Rambutan - Pasar Rebo via Poncol,0.0,KPP Pratama Pasar Rebo,Sbr. Akademi Farmasi Mahadhika,emoney,M
Rusun Cipinang Besar Selatan - Penas Kalimalang,0.0,Rusun Cipinang Besar Selatan,STMT Trisakti 2,flazz,F
Rusun Penjaringan - Penjaringan,1.0,Penjaringan,Rusun Penjaringan,online,F
Pulo Gadung 2 - Tosari,0.0,Velodrome,Pasar Genjing,dki,F
Kampung Rambutan - Juanda via Pasar Baru,1.0,Rawa Selatan,Pemuda Pramuka,emoney,M
Pulo Gebang - Rorotan,0.0,Sbr. YPI Asyaadah,Simpang Kaliabang Rorotan 1,online,F
Cilincing - Rorotan,1.0,Komplek KPLP Marunda,Sbr. MIN 20 Jakarta,flazz,M
Tanjung Priok - Pluit,0.0,Penjaringan,Pluit,dki,M
Ragunan - Gelora Bung Karno,1.0,Pejaten,SMK 57,bni,F
Lebak Bulus - Ragunan,1.0,Jln. Pondok Labu 1A,SDN Lebak Bulus 01,dki,F
Rusun Pondok Bambu - Walikota Jakarta Timur,1.0,Walikota Jakarta Timur 2,Flyover Radin Inten 1,dki,F
Rusun Komarudin - Penggilingan,0.0,Walikota Jakarta Timur,Penggilingan,flazz,F
Ragunan - Dukuh Atas 2,0.0,Kuningan Madya,Setiabudi Utara,flazz,M
Kampung Rambutan - Pasar Rebo via Poncol,0.0,Simpang Raya Bogor Suci,Jln. H. Jusin Susukan,online,M
Senen - Lebak Bulus,1.0,Selapa Polri,Cilandak,emoney,F
Kebayoran Lama - Tanah Abang,1.0,Tanah Abang 2,St. Karet,dki,M
Kebayoran Lama - Jelambar,0.0,Limo,S Parman Podomoro City Arah Barat,dki,F
Senen - Lebak Bulus,0.0,Ampera 2,Lebak Bulus,dki,F
PGC - Juanda,1.0,BKN,PGC 2,dki,M
Kampung Melayu - Tanah Abang,0.0,Flyover Kampung Melayu,UPT. LLHD 1,dki,F
Grogol - Tubagus Angke,1.0,RSJ Dr Soeharto Heerdjan,Sbr. Ps. Kb. Pisang,online,M
Rusun Rawa Bebek - Kodamar,1.0,Mushola Al Jihad Perintis Kemerdekaan,Jln. Kesadaran Pool Bus 1,dki,M
Tanah Abang - Grogol via Tawakal,0.0,Jln. Tali Kota Bambu Selatan,Pospol Tomang 2,dki,M
Senen - Pisangan Baru,0.0,Jln. Galur Sari Barat 2,SDN Utan Kayu Selatan 23 Pagi,dki,F
BSD - Jelambar,0.0,Gading Serpong 1,Tol Kb. Jeruk 2,brizzi,F
Blok M - Andara,1.0,Sbr. BBPK Jakarta,Fatmawati 2,dki,F
Kampung Melayu - Pulo Gebang via BKT,1.0,Penggilingan,Walikota Jakarta Timur,bni,F
PGC 2 - Tanjung Priok,1.0,Penas Kalimalang,BKN,dki,F
Pulo Gadung - Rawa Buaya via Balai Kota,1.0,Taman Kota,Monas,dki,M
Cinere - Kuningan,1.0,Perpustakaan Umum Daerah,Gedung Granadi,dki,F
Blok M - Universitas Indonesia,0.0,Brimob Pejaten Barat 2,Carrefour Pejaten Barat,dki,M
Kampung Melayu - Duren Sawit,0.0,Simpang Pondok Bambu Batas 1,Simpang BKT,bni,F
Tanah Abang - Kota,0.0,Sbr. Sekolah Fajar Sion,Simpang Roa Malaka Selatan,bni,F
Kampung Rambutan - Pinang Ranti,0.0,Tanah Merdeka 1,SDN Dukuh 05,dki,M
Dwikora - Penas Kalimalang,0.0,Lion Center,Cawang Soetoyo 2,dki,M
Lebak Bulus - Pasar Baru via Tomang,0.0,S Parman Podomoro City Arah Timur,Pasar Baru,flazz,M
Puri Beta - Kuningan (Express),0.0,Puri Beta 2,Patra Kuningan,dki,M
Terminal Rawamangun - Cipinang Muara,0.0,Nabawi Islamic School,Rukan Balai Pustaka,dki,M
Harmoni - Jakarta International Stadium,0.0,Sunter Muara,Juanda,dki,F
Andara - Stasiun Universitas Pancasila,1.0,St. Universitas Pancasila,Sbr. SMAN 38,brizzi,M
Rusun Pondok Bambu - Walikota Jakarta Timur,0.0,Jln. Serdang,Perumnas Klender 2,dki,F
Harapan Baru - Pulo Gebang via Rawa Kuning,0.0,Sbr. Masjid At Taqwa Rawa Kuning,Sbr. MTsN 20 Jakarta,dki,F
Bintaro - Blok M,0.0,Pasar Kebayoran Lama,Mayestik 2,online,F
Kampung Rambutan - Pasar Rebo via Poncol,0.0,Jln. Bungur VIII Rambutan,Sbr. Gg. Nusa Indah Ciracas,emoney,M
Tanah Abang - Kebayoran Lama,1.0,RS Medika Permata Hijau 3,Jln. EE Sukabumi Selatan,bni,F
Blok M - Pasar Minggu,0.0,Transvision,Tendean 1,dki,F
Lebak Bulus - Andara,0.0,Jln. Grafika,Graha Werdatama Pondok Labu,emoney,M
Kampung Melayu - Tanah Abang via Cikini,0.0,Slamet Riyadi 1,RSIA Bunda 2,emoney,F
Puri Beta 2 - Tendean,1.0,JORR,Adam Malik,bni,M
Bulak Ringin - Kampung Rambutan,0.0,Jln. SMAN 99,Term. Kampung Rambutan,bni,F
Pinang Ranti - Kampung Rambutan,0.0,Pertigaan Rukun Setu,Term. Kampung Rambutan,online,F
Kampung Rambutan - Pasar Rebo via Poncol,0.0,Gg. H. Seman Susukan,Jln. Suci Raya Bogor,emoney,M
Gondangdia - Senen,1.0,Sbr. KPAI,Sbr. Goethe Institute,brizzi,F
Ragunan - Blok M via Kemang,0.0,Sekolah Sumbangsih,Jln. Kemang 1,dki,M
Rusun Cipinang Muara - Jatinegara,1.0,Sbr. LP Cipinang,Sbr. Jln. Cipinang Jaya,flazz,F
Pasar Minggu - Tanah Abang,0.0,Jln. Taman Jatibaru Timur,Tanah Abang 2,dki,F
Pantai Maju - Kota,1.0,Al Mukhlisin,Ruko Cordoba 3,bni,F
Matraman Baru - Ancol,1.0,Budi Utomo,Pal Putih,flazz,M
Rusun Flamboyan - Cengkareng,0.0,Univ. Satyagama,Polsek Cengkareng 1,brizzi,F
Harapan Baru - Pulo Gebang via Rawa Kuning,1.0,Jln. Satria,THB Cluster Nirwana,dki,F
PGC 2 - Grogol 2,0.0,Pancoran Tugu Arah Barat,RS Harapan Kita Arah Utara,flazz,F
Rusun Marunda - Rusun Waduk Pluit,0.0,Rusun Marunda 1,Sbr. Gg. Marlina,dki,M
Cilincing - Rorotan,1.0,Masjid Jami Al Fallah,Jln. Pemadam Kebakaran Cacing,dki,M
Cempaka Putih - Pulo Gadung via Kelapa Gading,0.0,Gereja Tiberias Kelapa Gading,Jln. Kelapa Nias IV,dki,M
Bekasi Barat - Kuningan,1.0,Mega Syariah,Patra Kuningan 1,dki,F
Rusun Komarudin - Penggilingan,0.0,Walikota Jakarta Timur,Penggilingan,dki,F
Cibubur - Balai Kota,1.0,Wisma Nusantara,Bumiputera,emoney,M
Cibubur Junction - Blok M,1.0,Bundaran Senayan 2,Komdak 2,brizzi,F
Bulak Turi - Tanjung Priok,0.0,KBN Marunda 2,Port Medical Center,emoney,M
Harmoni - Jakarta International Stadium,0.0,Pecenongan,Harmoni Arah Utara,brizzi,M
Senen - Pulo Gadung via Kelapa Gading,1.0,Ps. Sumur Batu 1,Jln. Ultra Violet,dki,M
Rusun Rawa Bebek - Bukit Duri,1.0,Penggilingan,Rusun Rawa Bebek,online,F
Tanah Abang - Meruya,1.0,Kec. Kembangan,Jln. Palmerah Barat IV,emoney,F
Lebak Bulus - Cipulir,0.0,Sbr. Raffles Christian School,Lebak Bulus Jak Lingko,dki,F
Lebak Bulus - Petukangan,1.0,Masjid Hifdzirrahim,Lebak Bulus Jak Lingko,dki,F
Pulo Gadung - Monas,0.0,Bermis,Monas,emoney,F
Cibubur - Balai Kota,0.0,Plaza Indonesia,MH Thamrin 2,emoney,F
BSD - Jelambar,0.0,Gading Serpong 1,Tol Kb. Jeruk 2,bni,M
Kampung Rambutan - Tanjung Priok,1.0,Permai Koja Arah Utara,Tanjung Priok,brizzi,M
Terminal Tanah Merah - Pulo Gadung,0.0,Jln. Kelapa Nias IV,Sbr. SDN Pegangsaan Dua 07,dki,F
Tanjung Priok - Blok M,1.0,Petojo,Tanjung Priok,dki,F
Rusun Jatinegara Kaum - Pulo Gadung,0.0,Jln. Arus Jati,Pool PPD Kec. Pulo Gadung,dki,M
Rusun Marunda - Terminal Terpadu Pulo Gebang,1.0,Flyover Pulo Gebang 1,Jln. Inspeksi Pam,emoney,F
Ragunan - MH Thamrin via Semanggi,0.0,Ragunan,Gatot Subroto LIPI Arah Barat,dki,F
Cibubur - Kuningan,1.0,Tempo Scan,Rest Area TMII,flazz,M
Rusun Kapuk Muara - Penjaringan,0.0,Rusun Kapuk Muara,Penjaringan,brizzi,F
Bekasi Barat - Kuningan,1.0,Cipta Rasuna Said,Gedung Granadi,bni,F
Cibubur - BKN,1.0,BKN,Cibubur Junction,dki,M
Ciputat - CSW,0.0,Pondok Indah 1,Auto 2000,emoney,M
Roxy - Benhil,0.0,JPO Mandiri,PU Irigasi,dki,F
Pinang Ranti - Pulo Gadung,0.0,Sbr. Ps. Gardu,Griya Kukila Halim Perdanakusuma,emoney,F
Rusun Pinus Elok - Rusun Pulo Gebang,1.0,Perum Tpi 1,Rusun Pinus Elok Blok A,online,F
Harapan Indah - ASMI,1.0,Ps. Cakung 1,Masjid Al Barkah 2,brizzi,F
Kampung Melayu - Pondok Kelapa,0.0,Sbr. Jln. Taman Enau,Jln. Masjid Al Ikhlas,dki,M
Kampung Rambutan - Bidara Cina,0.0,Pasar Kramat Jati,PGC 1,dki,F
Bintaro - Blok M,1.0,One Park Residences,SPBU Bintaro Pondok Betung,dki,M
Pinang Ranti - Kampung Rambutan,0.0,Jln. Swadaya I,Jln. Bambu Kuning,bni,F
Puri Kembangan - Sentraland Cengkareng,1.0,Komplek Ruko Interkota,Sbr. Mutiara Taman Palem 1,bni,M
Kampung Rambutan - Pondok Gede,1.0,Jln. Rama IX,Jln. SPG 7,flazz,M
Tanah Abang - Jembatan Lima,1.0,Simpang Kopi Bandengan Selatan,Ps. Pejagalan,dki,F
Terminal Rawamangun - Cipinang Muara,1.0,Cipinang Baru,Masjid Jami At Taqwa 3,bni,M
Kampung Rambutan - Pinang Ranti,1.0,Sbr. Jln. Man 2,Sbr. Term. Kampung Rambutan,emoney,M
Stasiun Palmerah - Bundaran Senayan,0.0,Gelora Bung Karno,Bundaran Senayan,brizzi,M
Blok M - Kota,1.0,MH Thamrin,Gelora Bung Karno,dki,M
Lenteng Agung - Aseli,0.0,Gg. H. Mesir,Sbr. RS Zahirah,brizzi,F
Pangkalan Jati - Rawamangun,1.0,SDN Jati 07,Komplek Wijaya Kusuma 1,flazz,F
Jelambar - Juanda,0.0,Petojo,Pecenongan,dki,F
Roxy - Benhil,0.0,Mall Thamrin City,Sbr. RS Dr Mintohardjo,dki,F
Dwikora - Penas Kalimalang,0.0,Ps. Mini Halim,Cawang Soetoyo 1,dki,F
Stasiun Tebet - Karet via Patra Kuningan,1.0,Telkom Tebet,Stasiun Tebet,flazz,F
Roxy - Benhil,1.0,Rusun Benhil,Jln. Taman Jatibaru Timur,dki,M
Bintaro - Blok M,1.0,Masjid Pondok Indah 2,Jln. IKPN Bintaro,bni,M
Kampung Rambutan - Pondok Gede,1.0,Tanah Merdeka 1,RPTRA Mutiara Rawabinong,dki,F
Ragunan - MH Thamrin via Kuningan,1.0,Karet Kuningan,Warung Jati,brizzi,M
Cinere - Bundaran Senayan,0.0,Menara Mandiri,Gelora Bung Karno 1,brizzi,M
Rusun Cakung Barat - Pulo Gadung,1.0,Pulo Jaya,PTC Pulo Gadung,online,M
Pinang Ranti - Pramuka,1.0,Garuda Taman Mini,Pinang Ranti,online,M
Senen - Pulo Gadung,1.0,Kel. Tanah Tinggi,Simpang Kramat Jaya Baru 2,dki,M
Pulo Gebang - Pulo Gadung 2 via PIK,1.0,Jln. Kesadaran Pool Bus 1,Jagal 2,dki,M
Tanjung Priok - Sukapura,1.0,SMK Tj. Priok 2,Taman Barito Sembar,dki,M
Rusun Sindang Koja - Kp. Sawah,0.0,GKJ Tj. Priok,Gg. Swadaya 2 G,dki,M
PGC 2 - Grogol 2,0.0,Slipi Petamburan Arah Utara,Slipi Kemanggisan Arah Utara,dki,M
Kampung Rambutan - Juanda via Pasar Baru,0.0,Rawa Selatan,Balai Kota,bni,F
Pasar Minggu - Velbak,1.0,Jln. Pakubuwono VI,Sbr. SMK 57,dki,M
Jakarta International Stadium - Senen,0.0,Jln. Dadap,Simpang Danau Sunter Barat Utara,emoney,F
Ragunan - Blok M via Kemang,0.0,Kemang Raya 40,Puskesmas Kebayoran Baru,dki,F
Poris Plawad - Bundaran Senayan,0.0,Jln. Industri 1,Senayan JCC Arah Timur,dki,M
Lenteng Agung - Aseli,0.0,Ruko Moh Kahfi II,Masjid Al Birru Warrohmah,emoney,M
Matraman Baru - Ancol,0.0,Jembatan Merah,Gunung Sahari Mangga Dua,online,M
Bintaro - Fatmawati,1.0,Carrefour Lebak Bulus,Bintaro Xchange,emoney,F
Joglo - Blok M,0.0,Jln. Palatehan,Gerbang Tol Joglo 1,emoney,F
Puri Beta - Kuningan (Express),1.0,Tendean,CSW 1,emoney,M
